Query length,Accuracy,Specificity,Sensitivity,Precision
1,0.9514958448753461,0.9994022452252516,0.0412742382271468,0.8078947368421051
2,0.9523268698060943,0.998454585216504,0.07590027700831023,0.7499999999999999
3,0.9528808864265929,0.9973611313602564,0.1077562326869806,0.713157894736842
4,0.9532548476454293,0.9961729115031348,0.13781163434903043,0.6842105263157895
5,0.9533518005540166,0.9948388977985129,0.16509695290858725,0.6573684210526316
6,0.9531578947368421,0.9933518005540167,0.18947368421052635,0.6285087719298247
7,0.9527285318559557,0.9917407785391453,0.21149584487534623,0.6015037593984963
8,0.9521191135734073,0.9900349905233999,0.23171745152354561,0.5773026315789473
9,0.9515096952908589,0.9883292025076543,0.25193905817174517,0.5578947368421053
10,0.9507202216066482,0.9865286484910335,0.2703601108033241,0.5389473684210525
11,0.9497368421052632,0.9846260387811637,0.28684210526315784,0.5196172248803826
12,0.9484487534626037,0.9825630558390436,0.3002770083102493,0.49934210526315786
13,0.9470637119113574,0.9804490450502987,0.31274238227146806,0.4795546558704454
14,0.9457617728531859,0.9783787724158042,0.32603878116343493,0.46372180451127815
15,0.9444044321329639,0.9762793410118094,0.33878116343490305,0.44947368421052636
16,0.9429085872576178,0.9741070126840646,0.3501385041551246,0.4355263157894737
17,0.9412742382271468,0.9718617874325706,0.36011080332409967,0.4221362229102167
18,0.9396260387811637,0.9696092724887008,0.3699445983379501,0.4093567251461988
19,0.9379224376731301,0.9673275987753316,0.37922437673130194,0.3972299168975069
